No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
1094,3,D,Quercus alba,0.087,Med,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/17/18,5.29,4.78,3.3,18.95,20.18,23,80.5,1,NA,NA
2459,6,D,Acer saccharum,0.09,Med,2016,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,21.41,NA,-0.61,14.01,12.25,7,24.5,1,NA,NA
2461,6,D,Quercus rubra,0.09,Med,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,22,23.53,2.55,26.24,11.77,7,24.5,0,X,NA
2471,6,B,Acer saccharum,0.092,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.46,NA,0.19,14.11,12.06,7,24.5,1,NA,NA
2483,6,D,Acer saccharum,0.09,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.66,NA,0.01,14.29,12.76,7,24.5,1,NA,NA
2489,6,B,Prunus serotina,0.092,Med,2016,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,9.96,NA,0.05,7.67,11.78,7,24.5,1,NA,NA
2492,6,B,Prunus serotina,0.092,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,36.26,NA,0.59,9.61,11.88,7,24.5,1,NA,NA
2535,6,D,Quercus rubra,0.09,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,14,25,3,26.7,12.48,7,24.5,0,X,NA
2544,6,B,Quercus rubra,0.092,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,53,3,4,22.32,17.74,7,24.5,0,X,NA
1115,3,D,Quercus alba,0.087,Med,2016,Quercus alba,1297,Non-Sterile,Conspecific,EMF,EMF,5/22/18,20.78,31.43,4.97,19.29,21,33,115.5,0,NA,X
1117,3,B,Quercus rubra,0.082,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.2,29.08,3.72,20.64,18.29,33,115.5,0,NA,X
1118,3,B,Quercus alba,0.082,Med,2016,Sterile,1478,Sterile,Sterilized,EMF,Sterile,5/17/18,0.72,0.69,2.87,19.49,17.79,18,63,1,NA,NA
2562,6,B,Quercus rubra,0.092,Med,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,3,0,3.55,23.76,15.78,7,24.5,0,X,NA
1125,3,B,Prunus serotina,0.082,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.27,NA,0.62,9.43,11.94,33,115.5,0,NA,X
2569,6,D,Quercus rubra,0.09,Med,2016,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,0,0,3.48,23.26,16.22,7,24.5,0,X,NA
2578,6,B,Prunus serotina,0.092,Med,2017,Sterile,I,Sterile,Sterilized,AMF,Sterile,6/5/18,9.96,NA,0.05,7.67,11.78,7,24.5,1,NA,NA
2592,6,D,Quercus rubra,0.09,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,35,19.61,2.7,27.19,9.48,7,24.5,0,X,NA
2598,7,A,Quercus alba,0.078,Med,2016,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,35,25,3.49,20.94,17.33,7,24.5,0,X,NA
2620,7,A,Quercus rubra,0.078,Med,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,42,75.68,3.7,26.31,14.99,7,24.5,0,X,NA
1144,3,D,Quercus alba,0.087,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,21.02,35.22,5.31,20.46,19.21,33,115.5,0,NA,X
1149,3,D,Prunus serotina,0.087,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,16.18,NA,0.35,10.85,13.69,33,115.5,0,NA,X
1160,3,B,Quercus rubra,0.082,Med,2016,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,4.09,7.25,3.3,24.98,14.45,33,115.5,0,NA,X
2632,7,A,Acer saccharum,0.078,Med,2017,Prunus serotina,G,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,46,NA,-0.29,12.91,12.21,7,24.5,0,X,NA
2639,7,A,Quercus alba,0.078,Med,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/10/18,0,0,2.74,20.45,17.36,7,24.5,0,X,NA
2646,7,C,Quercus rubra,0.082,Med,2016,Quercus rubra,1454,Non-Sterile,Conspecific,EMF,EMF,5/25/18,19,0,2.63,26.62,11.1,7,24.5,0,X,NA
2662,7,C,Quercus rubra,0.082,Med,2017,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,23,42.86,3.78,22.48,17.28,7,24.5,0,X,NA
2694,7,C,Quercus alba,0.082,Med,2016,Quercus alba,1320,Non-Sterile,Conspecific,EMF,EMF,5/23/18,10.81,55.56,4.76,25.06,15.26,7,24.5,0,X,NA
2697,7,C,Prunus serotina,0.082,Med,2017,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,44.69,NA,0.69,10.07,13,7,24.5,1,NA,NA
1184,3,D,Quercus rubra,0.087,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,19.95,20.02,3.84,21.14,17.91,33,115.5,0,NA,X
2714,7,C,Quercus rubra,0.082,Med,2016,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,49,4,3.57,19.77,19.46,7,24.5,0,X,NA
2715,7,C,Acer saccharum,0.082,Med,2017,Acer saccharum,1323,Non-Sterile,Conspecific,AMF,AMF,6/4/18,9,NA,-0.09,14.35,13.02,7,24.5,0,X,NA
2722,7,A,Quercus rubra,0.078,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,17,26.87,3.48,22.84,16.15,7,24.5,0,X,NA
1201,3,D,Prunus serotina,0.087,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,36.65,NA,0.71,10.43,13.72,33,115.5,0,NA,X
2725,7,A,Quercus rubra,0.078,Med,2016,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,22,71.43,3.86,26.84,14.92,7,24.5,0,X,NA
2731,7,C,Acer saccharum,0.082,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/4/18,19.14,NA,-0.09,13.75,12.02,7,24.5,1,NA,NA
2733,7,C,Quercus rubra,0.082,Med,2017,Quercus rubra,921,Non-Sterile,Conspecific,EMF,EMF,5/25/18,18,10.34,2.92,23.94,13.55,7,24.5,0,X,NA
2741,7,A,Prunus serotina,0.078,Med,2017,Sterile,I,Sterile,Sterilized,AMF,Sterile,6/5/18,10,NA,0.2,7.27,11.4,7,24.5,0,X,NA
2764,7,A,Quercus alba,0.078,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,14.1,28.95,4.71,21.11,18.02,7,24.5,1,NA,NA
2767,7,C,Prunus serotina,0.082,Med,2017,Sterile,689,Sterile,Sterilized,AMF,Sterile,6/5/18,10,NA,0,7.01,11.49,7,24.5,0,X,NA
2780,7,E,Prunus serotina,0.075,Low,2016,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,12,NA,0.09,4.81,8.28,7,24.5,0,X,NA
2811,7,B,Quercus rubra,0.079,Med,2016,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,42,13.04,3.09,25.74,12.28,7,24.5,0,X,NA
2819,7,E,Quercus rubra,0.075,Low,2016,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,11,62.79,3.19,32.77,12.4,7,24.5,0,X,NA
2831,7,B,Acer saccharum,0.079,Med,2016,Sterile,275,Sterile,Sterilized,AMF,Sterile,6/11/18,0,NA,-0.17,9.43,9.83,7,24.5,0,X,NA
2842,7,D,Acer saccharum,0.08,Med,2017,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14,NA,-0.29,13.54,12.09,7,24.5,0,X,NA
2850,7,B,Quercus rubra,0.079,Med,2016,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,19,18.03,3.55,24.07,15.93,7,24.5,0,X,NA
2853,7,B,Prunus serotina,0.079,Med,2016,Prunus serotina,H,Non-Sterile,Conspecific,AMF,AMF,6/8/18,34.48,NA,0.5,7.95,11.53,7,24.5,1,NA,NA
2863,7,B,Prunus serotina,0.079,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,32.91,NA,0.69,8.91,11.73,7,24.5,1,NA,NA
1246,3,B,Quercus rubra,0.082,Med,2016,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,4.09,7.25,3.3,24.98,14.45,21,73.5,1,NA,NA
1247,3,B,Quercus alba,0.082,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,16.39,15.84,4.82,17.99,21.76,33,115.5,0,NA,X
2874,7,D,Quercus alba,0.08,Med,2016,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,18,29.27,4.3,28.15,14.62,7,24.5,0,X,NA
2890,7,B,Quercus rubra,0.079,Med,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,6/15/18,4,24,3.19,25.24,13.29,7,24.5,0,X,NA
2891,7,B,Quercus alba,0.079,Med,2016,Acer rubrum,50,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,4,55,4.29,19.3,21.17,7,24.5,0,X,NA
2924,7,B,Quercus alba,0.079,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,37,6.45,4.82,16.13,22.38,7,24.5,0,X,NA
2928,7,D,Quercus alba,0.08,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,31,15.38,4.62,14.29,21.23,7,24.5,0,X,NA
2952,7,D,Prunus serotina,0.08,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,32.34,NA,0.37,8.48,11.26,7,24.5,1,NA,NA
1259,3,D,Quercus rubra,0.087,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,24.29,49.33,3.8,26.9,14.77,33,115.5,0,NA,X
2958,7,B,Quercus alba,0.079,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,22,68.42,4.36,26.26,13.81,7,24.5,0,X,NA
2959,7,B,Prunus serotina,0.079,Med,2017,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,10.44,NA,0.07,7.15,11.6,7,24.5,1,NA,NA
2967,7,D,Acer saccharum,0.08,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/4/18,20.29,NA,-0.11,13.76,11.95,7,24.5,1,NA,NA
2969,7,D,Quercus alba,0.08,Med,2017,Sterile,1478,Sterile,Sterilized,EMF,Sterile,5/10/18,0,0,2.79,21.13,16.78,7,24.5,0,X,NA
2972,7,B,Quercus rubra,0.079,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,8,56.6,3.34,19.95,19.46,7,24.5,0,X,NA
2979,7,B,Acer saccharum,0.079,Med,2017,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.89,NA,-0.03,14.04,12.55,7,24.5,1,NA,NA
3014,7,B,Quercus rubra,0.079,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,12,35.71,3.59,27.19,14.12,7,24.5,0,X,NA
3015,7,B,Quercus rubra,0.079,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,9,16,3.72,24.53,15.33,7,24.5,0,X,NA
3016,7,B,Quercus alba,0.079,Med,2016,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,37,50,4.84,19.88,19.79,7,24.5,0,X,NA
3020,7,D,Acer saccharum,0.08,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.42,NA,-0.21,13.91,12.19,7,24.5,1,NA,NA
1294,3,D,Quercus rubra,0.087,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,24.29,49.33,3.8,26.9,14.77,33,115.5,0,NA,X
1298,4,A,Acer saccharum,0.078,Med,2017,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/1/18,20.04,NA,0.26,14.45,11.93,18,63,1,NA,NA
3023,7,D,Acer saccharum,0.08,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.57,NA,-0.1,13.73,12.47,7,24.5,1,NA,NA
3038,8,C,Acer saccharum,0.061,Low,2016,Acer saccharum,561,Non-Sterile,Conspecific,AMF,AMF,6/4/18,0,NA,-0.31,13.72,13.44,7,24.5,0,X,NA
3045,8,A,Prunus serotina,0.061,Low,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,23.28,NA,0.29,5.16,6.68,7,24.5,1,NA,NA
3056,8,C,Prunus serotina,0.061,Low,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,24,NA,0.78,5.94,10.46,7,24.5,0,X,NA
3071,8,C,Prunus serotina,0.061,Low,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,31,NA,0.54,5.19,7.53,7,24.5,0,X,NA
1309,4,C,Quercus alba,0.079,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,16.96,24.56,3.8,19.04,20.31,33,115.5,0,NA,X
3072,8,C,Acer saccharum,0.061,Low,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.84,NA,-0.02,11.13,11.41,7,24.5,1,NA,NA
3076,8,C,Quercus alba,0.061,Low,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,5/17/18,23,0,2.39,20.81,17.59,7,24.5,0,X,NA
1313,4,C,Acer saccharum,0.079,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.85,NA,-0.09,13.46,11.69,18,63,1,NA,NA
1320,4,A,Prunus serotina,0.078,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,31.87,NA,0.35,7.92,11.1,17,59.5,1,NA,NA
1322,4,A,Acer saccharum,0.078,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.86,NA,-0.2,13.81,11.98,18,63,1,NA,NA
1323,4,A,Quercus alba,0.078,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,24.39,43.76,4.9,20.21,20.12,33,115.5,0,NA,X
3085,8,A,Prunus serotina,0.061,Low,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,62,NA,0.57,6.66,10.45,7,24.5,0,X,NA
3086,8,A,Acer saccharum,0.061,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14,NA,-0.2,13.73,12.33,7,24.5,0,X,NA
1332,4,C,Acer saccharum,0.079,Med,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.89,NA,-0.03,14.04,12.55,17,59.5,1,NA,NA
1333,4,A,Acer saccharum,0.078,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.75,NA,0.09,11.47,11.43,17,59.5,1,NA,NA
3100,8,A,Quercus alba,0.061,Low,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,10.99,26.67,3.51,25.28,13.11,7,24.5,0,X,NA
1342,4,C,Acer saccharum,0.079,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.53,NA,0,11.14,11.39,17,59.5,1,NA,NA
3110,8,C,Quercus alba,0.061,Low,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,16,0,2.92,21.99,17.03,7,24.5,0,X,NA
1345,4,C,Quercus alba,0.079,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,16.37,18.96,4.45,17.08,23.19,33,115.5,0,NA,X
3118,8,A,Quercus rubra,0.061,Low,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,5/25/18,19,6.15,2.12,26.65,10.9,7,24.5,0,X,NA
3126,8,C,Quercus alba,0.061,Low,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,5,50,3.41,25.61,11.34,7,24.5,0,X,NA
1349,4,C,Quercus alba,0.079,Med,2016,Sterile,415,Sterile,Sterilized,EMF,Sterile,5/17/18,3.12,3.41,2.88,18.94,18.48,23,80.5,1,NA,NA
3133,8,A,Acer saccharum,0.061,Low,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/4/18,16.5,NA,-0.3,10.67,11.37,7,24.5,1,NA,NA
3137,8,A,Prunus serotina,0.061,Low,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,34.64,NA,0.51,5.38,6.91,7,24.5,1,NA,NA
3141,8,A,Quercus rubra,0.061,Low,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,15,27.78,3.76,19.63,19.96,7,24.5,0,X,NA
1358,4,A,Acer saccharum,0.078,Med,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/18/18,7,NA,-0.04,12.11,12.34,23,80.5,1,NA,NA
3146,8,C,Prunus serotina,0.061,Low,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,40,NA,0.54,10.44,13.19,7,24.5,0,X,NA
3158,8,A,Quercus alba,0.061,Low,2016,Quercus alba,1478,Non-Sterile,Conspecific,EMF,EMF,5/22/18,24,48.39,4.65,20.73,18.62,7,24.5,0,X,NA
1362,4,C,Acer saccharum,0.079,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.85,NA,-0.09,13.46,11.69,18,63,1,NA,NA
1363,4,C,Acer saccharum,0.079,Med,2016,Acer saccharum,1757,Non-Sterile,Conspecific,AMF,AMF,6/1/18,19.56,NA,0.26,14.14,11.89,18,63,1,NA,NA
1374,4,A,Quercus alba,0.078,Med,2017,Sterile,1715,Sterile,Sterilized,EMF,Sterile,5/17/18,1.12,0,2.89,19.59,18,23,80.5,1,NA,NA
3164,8,C,Quercus alba,0.061,Low,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,34.15,34.29,4.5,21.43,17.8,7,24.5,0,X,NA
1383,4,C,Quercus rubra,0.079,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18.09,31.83,3.14,26.05,12.98,33,115.5,0,NA,X
1384,4,C,Acer saccharum,0.079,Med,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.85,NA,-0.09,13.46,11.69,18,63,1,NA,NA
3189,8,A,Prunus serotina,0.061,Low,2017,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,13.52,NA,0.37,5.48,9.21,7,24.5,1,NA,NA
3194,8,A,Quercus rubra,0.061,Low,2017,Sterile,1688,Sterile,Sterilized,EMF,Sterile,5/23/18,7,3.13,2.66,29.05,9.93,7,24.5,0,X,NA
1392,4,A,Acer saccharum,0.078,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,20.19,NA,-0.06,13.73,11.64,18,63,1,NA,NA
3199,8,C,Quercus rubra,0.061,Low,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,31,1.64,3.07,29.12,11.58,7,24.5,0,X,NA
1413,4,A,Prunus serotina,0.078,Med,2016,Sterile,I,Sterile,Sterilized,AMF,Sterile,6/5/18,13.33,NA,0.23,5.08,8.93,17,59.5,1,NA,NA
3205,8,A,Quercus rubra,0.061,Low,2016,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,12,5,3.8,22.54,16.83,7,24.5,0,X,NA
1415,4,C,Quercus rubra,0.079,Med,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,22.21,27.75,3.49,26.75,13.64,33,115.5,0,NA,X
3208,8,A,Quercus alba,0.061,Low,2016,Acer saccharum,961,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,31,4.76,4.63,17.86,24.65,7,24.5,0,X,NA
3218,8,C,Quercus rubra,0.061,Low,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,74,17.65,3.89,23.64,16.51,7,24.5,0,X,NA
3220,8,C,Quercus alba,0.061,Low,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,26.67,19.23,4.71,17.18,22.65,7,24.5,0,X,NA
3236,8,C,Acer saccharum,0.061,Low,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,18.89,NA,-0.69,13.64,12.17,7,24.5,1,NA,NA
1423,4,A,Acer saccharum,0.078,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/1/18,20.19,NA,-0.06,13.73,11.64,18,63,1,NA,NA
1432,4,C,Quercus alba,0.079,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,26.6,44.22,4.88,20.04,20.29,33,115.5,0,NA,X
1436,4,C,Acer saccharum,0.079,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.53,NA,0,11.14,11.39,17,59.5,1,NA,NA
3237,8,C,Acer saccharum,0.061,Low,2016,Sterile,561,Sterile,Sterilized,AMF,Sterile,5/17/18,2,NA,-0.39,12.06,20,7,24.5,0,X,NA
1440,4,C,Quercus alba,0.079,Med,2016,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,26.86,11.6,4.74,17.42,22.5,21,73.5,1,NA,NA
3246,8,B,Acer saccharum,0.066,Low,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.86,NA,-0.02,11.17,11.24,7,24.5,1,NA,NA
1443,4,A,Quercus rubra,0.078,Med,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,18.21,26.39,3.43,26.87,13.68,33,115.5,0,NA,X
1450,4,C,Quercus alba,0.079,Med,2017,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,6/15/18,16.5,20.41,4.8,18.2,21.76,33,115.5,0,NA,X
3248,8,E,Quercus alba,0.066,Low,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/17/18,17,5.26,2.95,18.6,20.58,7,24.5,0,X,NA
1461,4,A,Quercus rubra,0.078,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,18.4,34.78,3.14,26.31,12.9,33,115.5,0,NA,X
3253,8,D,Quercus alba,0.063,Low,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,18,35.06,4.87,19.51,20.23,7,24.5,0,X,NA
3263,8,B,Quercus rubra,0.066,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,7,2.5,2.53,29.08,9.48,7,24.5,0,X,NA
3271,8,D,Acer saccharum,0.063,Low,2017,Acer saccharum,275,Non-Sterile,Conspecific,AMF,AMF,6/4/18,14.78,NA,-0.13,10.82,11.64,7,24.5,1,NA,NA
3279,8,B,Prunus serotina,0.066,Low,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,23.18,NA,0.3,5.13,6.8,7,24.5,1,NA,NA
3287,8,D,Quercus alba,0.063,Low,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,28,0,4.43,23.56,16.3,7,24.5,0,X,NA
1484,4,E,Quercus rubra,0.071,Low,2016,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,5/25/18,14.38,33.76,2.99,26.2,12.92,33,115.5,0,NA,X
3314,8,B,Acer saccharum,0.066,Low,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.3,NA,-0.09,13.65,12.5,7,24.5,1,NA,NA
1490,4,C,Quercus alba,0.079,Med,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,16.37,18.96,4.45,17.08,23.19,33,115.5,0,NA,X
3318,8,B,Prunus serotina,0.066,Low,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,38.77,NA,0.7,6.94,11.21,7,24.5,1,NA,NA
3326,8,D,Quercus alba,0.063,Low,2017,Acer rubrum,1386,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,26,35.71,4.41,26.66,14.39,7,24.5,0,X,NA
3376,8,D,Acer saccharum,0.063,Low,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.47,NA,-0.22,10.62,11.38,7,24.5,1,NA,NA
1496,4,A,Quercus alba,0.078,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,17.49,23.82,4.75,18.57,22.08,33,115.5,0,NA,X
1499,4,A,Acer saccharum,0.078,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/1/18,15.86,NA,-0.2,13.81,11.98,18,63,1,NA,NA
1503,4,E,Acer saccharum,0.071,Low,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.95,NA,0.04,13.79,12.31,17,59.5,1,NA,NA
1505,4,E,Prunus serotina,0.071,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,22.82,NA,0.3,5.1,6.86,17,59.5,1,NA,NA
1506,4,C,Prunus serotina,0.079,Med,2017,Sterile,689,Sterile,Sterilized,AMF,Sterile,6/5/18,10.44,NA,0.07,7.15,11.6,17,59.5,1,NA,NA
1507,4,C,Quercus rubra,0.079,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,20.14,49.09,3.79,26.91,14.62,33,115.5,0,NA,X
3386,8,B,Quercus alba,0.066,Low,2017,Quercus alba,1205,Non-Sterile,Conspecific,EMF,EMF,5/22/18,14,43.1,3.52,25.93,10.1,7,24.5,0,X,NA
3396,8,D,Acer saccharum,0.063,Low,2017,Sterile,1757,Sterile,Sterilized,AMF,Sterile,5/17/18,2,NA,-0.17,11.37,11.69,7,24.5,0,X,NA
3401,8,D,Prunus serotina,0.063,Low,2017,Sterile,G,Sterile,Sterilized,AMF,Sterile,6/5/18,24,NA,0.32,4.45,7,7,24.5,0,X,NA
1519,4,B,Quercus alba,0.076,Med,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,3.2,1.96,2.84,19.45,17.94,23,80.5,1,NA,NA
3411,8,B,Quercus alba,0.066,Low,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,26,46.77,4.52,21.77,17.79,7,24.5,0,X,NA
